state,avg_delivery_time
SP,8.382059679493652
PR,10.8979452694652
MG,11.322381358451736
DF,12.406727694800928
RS,14.356336335727304
SC,14.381051698715744
RJ,14.458636008430878
ES,14.789260524929663
GO,15.088464780345971
MS,15.1732140198819
TO,16.030553600750647
MT,17.139563157324982
PE,17.16639658618268
PI,18.072387470386943
BA,18.10254690933679
RN,18.34930386959322
RO,18.368139945119562
PB,19.331143525219908
AC,20.042397660818715
MA,20.488450980392155
CE,20.988290398126463
SE,21.405155376140616
PA,22.392042021676676
AL,23.000557560818148
RR,24.398663697104677
AM,24.614653754796272
AP,27.702109880927512
